,PartitionKey,RowKey,Timestamp,message,etag
62,U28e9756ad64dc288d66c67b8c59b97f3,1582604400,2020-02-25 04:20:00.803466+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A20%3A00.8034666Z'"""
63,U28e9756ad64dc288d66c67b8c59b97f3,1582604516,2020-02-25 04:21:56.923973+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A21%3A56.9239731Z'"""
64,U28e9756ad64dc288d66c67b8c59b97f3,1582604524,2020-02-25 04:22:04.548514+00:00,ชนิดของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A22%3A04.5485142Z'"""
65,U28e9756ad64dc288d66c67b8c59b97f3,1582604529,2020-02-25 04:22:09.683575+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A22%3A09.6835759Z'"""
66,U28e9756ad64dc288d66c67b8c59b97f3,1582604532,2020-02-25 04:22:12.476095+00:00,ไข่พยาธิกลุ่มใด,"W/""datetime'2020-02-25T04%3A22%3A12.4760957Z'"""
67,U28e9756ad64dc288d66c67b8c59b97f3,1582604537,2020-02-25 04:22:17.295675+00:00,ลักษณะทั่วไปตัวเต็มวัย,"W/""datetime'2020-02-25T04%3A22%3A17.2956751Z'"""
68,U28e9756ad64dc288d66c67b8c59b97f3,1582604559,2020-02-25 04:22:39.303610+00:00,ไข่พยาธิชื่อว่าอะไร,"W/""datetime'2020-02-25T04%3A22%3A39.3036108Z'"""
69,U28e9756ad64dc288d66c67b8c59b97f3,1582604561,2020-02-25 04:22:41.837690+00:00,ไข่พยาธิกลุ่มใด,"W/""datetime'2020-02-25T04%3A22%3A41.8376908Z'"""
70,U28e9756ad64dc288d66c67b8c59b97f3,1582604567,2020-02-25 04:22:47.122046+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T04%3A22%3A47.1220468Z'"""
71,U28e9756ad64dc288d66c67b8c59b97f3,1582604970,2020-02-25 04:29:30.548594+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A29%3A30.5485944Z'"""
72,U28e9756ad64dc288d66c67b8c59b97f3,1582604978,2020-02-25 04:29:38.721032+00:00,ผิดไป,"W/""datetime'2020-02-25T04%3A29%3A38.7210323Z'"""
